sub_industry,Industry,sector,sic_code,sic_description,company_name,person_name,email,website,country,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,is_duplicate,duplicate_group,role_function,role_confidence
(HVAC) Heating Contractors & Consultants,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,False,,Other,0.0
Industrial Instrument & Apparatus Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,26512,Manufacture of electronic industrial process control equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industrial Packing & Crating,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industrial Pattern Makers,Machinery & Manufacturing Services,Manufacturing & Industrials,23430,Manufacture of ceramic insulators and insulating fittings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industrial Pipework,Engineering Services,Construction & Materials,33200,Installation of industrial machinery and equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industrial Recruitment,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industrial Services,Industrial Equipment & Supplies,Manufacturing & Industrials,81100,Combined facilities support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industrial Sewing Machines,"Textiles, Apparel & Luxury Goods",Manufacturing & Industrials,28940,"Manufacture of machinery for textile, apparel and leather production",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Industry Associations,Civic & Social Organizations,Public Sector & Government,94110,Activities of business and employers membership organisations,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Infectious Disease Control,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Information Services,Information Services,Information Technology,63990,Other information service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
In-house Optometrists,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Injection Moulding,Plastics Manufacturing,Manufacturing & Industrials,22290,Manufacture of other plastic products,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Insolvency Practitioners,Legal Services,Professional Services,82911,Activities of collection agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Handcrafted Ice Cream Sandwiches,Food & Beverage Industry,Manufacturing & Industrials,10520,Manufacture of ice cream,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Institutes - Professional,Professional & Commercial Services,Professional Services,94120,Activities of professional membership organisations,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Instrument Installation,Engineering Services,Professional Services,33200,Installation of industrial machinery and equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Instrumentation Engineers,Control Systems & Instrumentation Engineering,Manufacturing & Industrials,71129,Other engineering activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Insulation Installers,Construction Services,Construction & Materials,43290,Other construction installation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Insulation Materials,Building Materials & Products,Construction & Materials,46730,"Wholesale of wood, construction materials and sanitary equipment",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Insumos Medicos Veterinarios,Veterinary Services & Supplies,Healthcare,46460,Wholesale of pharmaceutical goods,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Insumos Veterinarios,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Intelligent Buying Service,Inventory & Supply Chain Management,Professional Services,82990,Other business support service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Intelligent Maintenance Solutions,Software Development & Services,Information Technology,62090,Other information technology service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interactive Broadcasting,Broadcasting,"Media, Publishing & Entertainment",59112,Video production activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interior Design,Interior Design,Professional Services,74100,Specialised design activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interior Designer,Interior Design,Professional Services,74100,Specialised design activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interior Landscaping/Indoor Landscape,Landscaping,Construction & Materials,81300,Landscape service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interior Shutters,Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interiors & Retail,Home Goods,Retail,74100,Specialised design activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Intermodal Container Leasing,Equipment Rental,Manufacturing & Industrials,77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Intermodal Shipping Containers,Logistics & Transportation,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Internal Medicine,Health Care Providers & Services,Healthcare,86210,General medical practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Air Charter,Logistics & Transportation,Transportation & Logistics,51102,Non-scheduled passenger air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Air Freight,Logistics & Transportation,Transportation & Logistics,51210,Freight air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Assignment Tax Services,Financial Services,Professional Services,69203,Tax consultancy,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Bulk Mail,Mail Services,Transportation & Logistics,53202,Unlicensed carriers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Courier,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Express,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Freight Forwarding,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Healthcare,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Moving,Moving & Removal Services,Consumer Goods & Services,49420,Removal services,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Overland,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Relocations Services,Moving & Removal Services,Consumer Goods & Services,49420,Removal services,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Removals,Moving & Removal Services,Consumer Goods & Services,49420,Removal services,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Sea Freight Solutions,Logistics & Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Shipping,Shipping & Marine Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Trade,Import/Export,Manufacturing & Industrials,46190,Agents involved in the sale of a variety of goods,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Transportation Of Pharmaceuticals,Logistics & Transportation,Transportation & Logistics,51210,Freight air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
International Wine Supplier,Beverage Distribution,Consumer Goods & Services,46342,"Wholesale of wine, beer, spirits and other alcoholic beverages",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Internet Cafes/Cyber Cafes,Online & Digital Services,Information Technology,56102,Unlicenced restaurants and cafes,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Internet Safety,IT Services & Support,Information Technology,62090,Other information technology service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Internet Service Provider (ISP),Online & Digital Services,Information Technology,61100,Wired telecommunications activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Internet Services,Online & Digital Services,Information Technology,63120,Web portals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Internet/Electronic Publishers,Publishing,"Media, Publishing & Entertainment",58190,Other publishing activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Interventional Cardiology,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Introduction Agencies,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Intruder Alarms,Security Services & Equipment,Professional Services,80200,Security systems service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Inventory Planning,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Investment Adviser,Investment Management,Financial Services,66300,Fund management activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Investment Consultants,Investment Management,Financial Services,66190,Activities auxiliary to financial intermediation n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Investment Management,Investment Management,Financial Services,66300,Fund management activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Invisalign & Orthodontics,Health Care Providers & Services,Healthcare,86230,Dental practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
IoT,IoT Services,Information Technology,62090,Other information technology service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
IPC Training,Education Services,Education,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Ironing & Home Laundry Services,Specialized Consumer Services,Consumer Goods & Services,96010,Washing and (dry-)cleaning of textile and fur products,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Irrigation Equipment Suppliers,Agricultural Equipment,Manufacturing & Industrials,46610,"Wholesale of agricultural machinery, equipment and supplies",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Isocyanate Biological Testing,Laboratory Services,Healthcare,72190,Other research and experimental development on natural sciences and engineering,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
IT,IT Services & Support,Information Technology,62020,Information technology consultancy activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
IT Consultancy Services,IT Services & Support,Information Technology,62020,Information technology consultancy activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Italian Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Itar Material,Aerospace & Defense,Manufacturing & Industrials,84220,Defence activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
IVF,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Herbs & Spices,Food & Beverage Industry,Manufacturing & Industrials,10840,Manufacture of condiments and seasonings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Indian Spices,Food & Beverage Industry,Manufacturing & Industrials,10840,Manufacture of condiments and seasonings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Janitorial Services,Facilities Management,Professional Services,81210,General cleaning of buildings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Japanese Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jazz Clubs,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Instant Noodle Manufacturer & Wholesaler,Food & Beverage Industry,Manufacturing & Industrials,10850,Manufacture of prepared meals and dishes,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jersey Gin,Beverage Manufacturing,Consumer Goods & Services,11010,"Distilling, rectifying and blending of spirits",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jewellers Equipment & Supplies,Jewelry,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jewellery Designers,Jewelry,Consumer Goods & Services,32120,Manufacture of jewellery and related articles,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jewellery Manufacturers & Repairers,Jewelry,Consumer Goods & Services,32120,Manufacture of jewellery and related articles,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jewellery Store,Jewelry,Retail,47770,Retail sale of watches and jewellery in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jewelry,Jewelry,Retail,46480,Wholesale of watches and jewellery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Job Hire,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jobs,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joiners And Carpenters,Construction & Engineering,Construction & Materials,16230,Manufacture of other builders' carpentry and joinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joinery Bar Design & Manufacturing,Furniture,Manufacturing & Industrials,16230,Manufacture of other builders' carpentry and joinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joinery Centres,Building Materials & Products,Retail,16230,Manufacture of other builders' carpentry and joinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joinery Installation,Construction & Engineering,Construction & Materials,43320,Joinery installation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joinery Manufacturers,Machinery & Manufacturing Services,Manufacturing & Industrials,16230,Manufacture of other builders' carpentry and joinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joint & Seal Manufacturers,Chemical Products & Chemicals,Construction & Materials,22190,Manufacture of other rubber products,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joint Disease,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Joint Venture Partnerships,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Journal,Publishing,"Media, Publishing & Entertainment",58142,Publishing of consumer and business journals and periodicals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Journalists,Media & Entertainment,"Media, Publishing & Entertainment",63910,News agency activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jugglers Suppliers & Equipment,Entertainment Services,"Media, Publishing & Entertainment",46900,Non-specialised wholesale trade,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Juice Shop,Food Retail,Consumer Goods & Services,47250,Retail sale of beverages in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jukebox,Music Equipment,Consumer Goods & Services,26400,Manufacture of consumer electronics,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jura Coffee Machines,Household Goods & Services,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Karaoke,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Key Cutting,Specialized Consumer Services,Consumer Goods & Services,95290,Repair of personal and household goods n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kids Nutrition,Food & Beverage Industry,Consumer Goods & Services,10890,Manufacture of other food products n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kilt Hire,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
King Brewers,Beverage Manufacturing,Consumer Goods & Services,11050,Manufacture of beer,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Appliances,Household Goods & Services,Manufacturing & Industrials,27510,Manufacture of electric domestic appliances,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Building,Architectural Services,Construction & Materials,43390,Other building completion and finishing,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Extraction,Mechanical Engineering,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Furniture Manufacturers,Furniture,Manufacturing & Industrials,31020,Manufacture of kitchen furniture,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Installation & Supply,Architectural Services,Construction & Materials,43390,Other building completion and finishing,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Planners & Furnishers,Furniture,Manufacturing & Industrials,74100,Specialised design activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Rental,Events Management,Professional Services,68209,Other letting and operating of own or leased real estate,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Retailer,Home Goods,Retail,47540,Retail sale of electrical household appliances in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitchen Ware,Home Goods,Retail,47540,Retail sale of electrical household appliances in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kites,Toys & Games,Consumer Goods & Services,32300,Manufacture of sports goods,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kitten Rescue,Pet Services & Supplies,Consumer Goods & Services,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knife Sharpening,Specialized Consumer Services,Consumer Goods & Services,33110,Repair of fabricated metal products,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knitting,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,14390,Manufacture of other knitted and crocheted apparel,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knitting & Crochet Yarn Supplies,Specialty Retail,Retail,47510,Retail sale of textiles in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knitting Machine Manufacturers & Distributors,"Textiles, Apparel & Luxury Goods",Manufacturing & Industrials,28940,"Manufacture of machinery for textile, apparel and leather production",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knitting Machines & Supplies,"Textiles, Apparel & Luxury Goods",Manufacturing & Industrials,46640,Wholesale of machinery for the textile industry and of sewing and knitting machines,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knitting Yarn Manufacturers & Wholesalers,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,46410,Wholesale of textiles,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knitwear Manufacturers & Wholesalers,Apparel,Consumer Goods & Services,14390,Manufacture of other knitted and crocheted apparel,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Knowledge Entertainment Inspiration,Media & Entertainment,"Media, Publishing & Entertainment",59113,Television programme production activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Kosher Catering,Catering & Contract Catering,Hospitality,56210,Event catering activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Jellies,Food & Beverage Industry,Manufacturing & Industrials,10822,Manufacture of sugar confectionery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Label Validation,Printing Services & Engineering,Manufacturing & Industrials,18121,Manufacture of printed labels,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Labels & Tags,Printing Services & Engineering,Manufacturing & Industrials,18121,Manufacture of printed labels,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Laboratory,Laboratory Services,Healthcare,72190,Other research and experimental development on natural sciences and engineering,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Laboratory Diagnostics,Laboratory Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Laboratory Equipment,Medical Devices & Services,Healthcare,26511,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
"Laboratory Equipment, Instruments & Supplies",Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Laboratory Testing & Diagnosis Service,Laboratory Services,Healthcare,71200,Technical testing and analysis,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Lace Manufacturers,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,13990,Manufacture of other textiles n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Ladder Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,25110,Manufacture of metal structures and parts of structures,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Ladder Sales,Industrial Equipment & Supplies,Manufacturing & Industrials,46740,"Wholesale of hardware, plumbing and heating equipment and supplies",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Ladies' Clothes Shops,Apparel,Consumer Goods & Services,47710,Retail sale of clothing in specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Laminate Wood Flooring,Machinery & Manufacturing Services,Manufacturing & Industrials,16210,Manufacture of veneer sheets and wood-based panels,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Lamination & Encapsulation Services,Printing Services & Engineering,Manufacturing & Industrials,18129,Printing n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Lamp Shop,Home Goods,Retail,47599,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Lampshade Manufacturers & Distributors,Lighting Engineering,Manufacturing & Industrials,27400,Manufacture of electric lighting equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
